order_item_id,order_id,product_id,quantity
1,71,41,1
2,21,20,4
3,18,38,3
4,68,6,3
5,168,48,4
6,90,13,2
7,277,24,5
8,257,18,2
9,132,31,3
10,174,8,4
11,39,10,2
12,204,36,3
13,47,26,1
14,136,35,1
15,233,24,3
16,300,25,3
17,56,44,2
18,242,2,5
19,288,21,5
20,114,42,1
21,238,45,3
22,210,8,2
23,24,3,3
24,253,8,1
25,121,35,2
26,199,30,3
27,277,27,5
28,80,27,1
29,251,40,4
30,144,3,3
31,112,29,4
32,121,24,1
33,189,35,3
34,32,26,3
35,98,8,4
36,47,43,2
37,11,4,3
38,125,9,5
39,106,5,5
40,107,38,2
41,120,22,2
42,2,18,2
43,67,35,3
44,90,8,1
45,68,1,3
46,122,38,3
47,9,12,3
48,27,9,4
49,270,8,1
50,244,29,3
51,263,38,1
52,232,33,2
53,23,47,5
54,155,30,1
55,32,31,4
56,219,44,1
57,252,46,4
58,38,6,3
59,76,5,2
60,141,40,5
61,281,46,3
62,196,39,5
63,151,30,5
64,221,7,1
65,283,47,2
66,221,29,2
67,212,22,4
68,205,27,1
69,161,28,3
70,131,24,2
71,243,5,1
72,44,6,4
73,50,48,3
74,67,36,1
75,288,36,3
76,63,27,3
77,217,47,1
78,148,39,3
79,181,7,5
80,260,14,2
81,247,15,1
82,180,36,3
83,59,49,3
84,294,15,4
85,288,50,5
86,286,2,5
87,137,2,2
88,140,45,3
89,174,23,1
90,93,10,5
91,206,5,2
92,16,6,5
93,111,25,4
94,233,22,2
95,190,20,3
96,291,39,1
97,27,10,2
98,26,44,1
99,140,29,4
100,249,39,4
101,213,18,2
102,263,8,3
103,221,8,3
104,250,34,3
105,24,15,4
106,29,1,2
107,155,14,2
108,131,19,3
109,62,1,4
110,221,12,2
111,195,35,2
112,257,36,3
113,37,26,1
114,224,2,4
115,40,21,5
116,220,37,4
117,214,19,1
118,208,2,3
119,88,40,4
120,186,6,4
121,55,16,4
122,206,34,1
123,203,20,3
124,114,22,2
125,40,33,1
126,272,33,2
127,179,23,2
128,121,7,2
129,132,13,2
130,79,49,1
131,91,50,4
132,238,49,5
133,297,29,5
134,166,41,3
135,78,29,1
136,241,29,3
137,141,38,1
138,181,33,1
139,159,30,4
140,20,4,3
141,147,5,1
142,260,25,4
143,298,36,1
144,231,37,2
145,165,39,4
146,257,10,1
147,231,7,3
148,44,33,2
149,21,16,4
150,225,34,5
151,82,24,3
152,145,25,4
153,174,44,5
154,27,41,3
155,34,22,1
