order_id,customer_id,order_date,status
1,80,2023-07-28,Returned
2,31,2023-03-21,Completed
3,53,2023-04-01,Completed
4,95,2023-04-02,Cancelled
5,86,2023-07-30,Returned
6,35,2023-05-08,Completed
7,14,2023-12-26,Cancelled
8,61,2023-01-20,Completed
9,59,2023-04-13,Cancelled
10,30,2023-06-06,Completed
11,85,2023-01-13,Completed
12,43,2023-07-24,Cancelled
13,99,2023-02-05,Cancelled
14,83,2023-06-29,Returned
15,87,2023-07-24,Returned
16,4,2023-06-19,Completed
17,23,2023-05-14,Returned
18,5,2023-05-16,Completed
19,56,2023-11-02,Cancelled
20,56,2023-06-10,Returned
21,15,2023-09-19,Cancelled
22,25,2023-10-23,Cancelled
23,91,2023-01-23,Cancelled
24,67,2023-01-01,Returned
25,93,2023-12-18,Returned
26,26,2023-12-10,Cancelled
27,9,2023-08-09,Returned
28,80,2023-06-19,Cancelled
29,16,2023-12-06,Returned
30,65,2023-06-03,Cancelled
31,53,2023-12-08,Cancelled
32,90,2023-07-26,Cancelled
33,17,2023-10-11,Completed
34,86,2023-08-04,Cancelled
35,96,2023-12-13,Completed
36,73,2023-11-12,Cancelled
37,71,2023-07-27,Completed
38,37,2023-06-05,Completed
39,75,2023-08-09,Returned
40,42,2023-12-02,Cancelled
41,57,2023-08-15,Returned
42,66,2023-04-20,Cancelled
43,85,2023-03-28,Completed
44,66,2023-05-26,Returned
45,80,2023-11-21,Cancelled
46,97,2023-02-17,Completed
47,40,2023-12-11,Completed
48,19,2023-04-12,Completed
49,32,2023-01-24,Cancelled
50,99,2023-11-09,Completed
51,54,2023-08-22,Returned
52,25,2023-10-22,Returned
53,50,2023-12-23,Cancelled
54,32,2023-07-24,Completed
55,89,2023-12-02,Completed
56,100,2023-02-24,Cancelled
57,23,2023-04-23,Returned
58,60,2023-09-23,Completed
59,32,2023-10-13,Completed
60,18,2023-08-22,Cancelled
61,68,2023-12-08,Returned
62,41,2023-11-01,Cancelled
63,93,2023-11-10,Returned
64,71,2023-08-07,Cancelled
65,96,2023-03-23,Cancelled
66,34,2023-08-19,Completed
67,36,2023-11-23,Returned
68,81,2023-09-06,Completed
69,57,2023-05-21,Completed
70,37,2024-01-01,Completed
71,43,2023-05-20,Cancelled
72,11,2023-10-04,Completed
73,30,2023-03-19,Cancelled
74,20,2023-12-22,Returned
75,9,2023-04-20,Cancelled
76,43,2023-07-28,Returned
77,54,2023-08-27,Completed
78,54,2023-04-16,Cancelled
79,90,2023-10-27,Completed
80,49,2023-10-22,Cancelled
81,46,2023-01-04,Cancelled
82,54,2023-07-19,Returned
83,78,2023-10-07,Completed
84,29,2023-09-07,Cancelled
85,63,2023-08-12,Completed
86,44,2023-07-19,Returned
87,52,2023-12-14,Returned
88,60,2023-03-26,Completed
89,69,2023-11-15,Completed
90,76,2023-07-21,Returned
91,4,2023-12-06,Completed
92,55,2023-11-26,Completed
93,24,2023-08-25,Completed
94,49,2023-05-14,Cancelled
95,59,2023-04-19,Cancelled
96,98,2023-06-22,Cancelled
97,97,2023-05-23,Cancelled
98,11,2023-05-10,Cancelled
99,96,2023-01-10,Returned
100,45,2023-01-27,Completed
101,9,2023-11-29,Returned
102,97,2023-01-21,Completed
103,26,2023-05-07,Completed
104,20,2023-11-15,Completed
105,61,2023-03-06,Returned
106,73,2023-02-28,Completed
107,90,2023-08-27,Cancelled
108,22,2023-07-08,Returned
109,96,2023-11-07,Returned
110,100,2023-02-28,Completed
111,14,2023-06-09,Returned
112,40,2023-01-14,Returned
113,49,2023-12-13,Cancelled
114,10,2023-04-12,Returned
115,81,2023-12-20,Completed
116,90,2023-02-22,Cancelled
117,77,2023-12-17,Completed
118,6,2023-10-17,Cancelled
119,55,2023-09-30,Returned
120,9,2023-07-09,Returned
121,44,2023-11-28,Completed
122,63,2023-08-04,Completed
123,47,2023-08-10,Returned
124,91,2023-08-24,Completed
125,23,2023-08-11,Returned
126,84,2023-09-25,Cancelled
127,69,2023-11-12,Cancelled
128,56,2023-08-27,Returned
129,35,2023-10-31,Cancelled
130,12,2023-05-06,Cancelled
131,32,2023-08-19,Cancelled
132,79,2023-10-19,Returned
133,44,2023-07-14,Completed
134,42,2023-09-11,Completed
135,28,2023-09-07,Cancelled
136,44,2023-05-13,Cancelled
137,90,2023-11-02,Cancelled
138,2,2023-10-12,Returned
139,11,2023-04-08,Completed
140,63,2023-07-28,Returned
141,89,2023-05-04,Cancelled
142,92,2023-11-27,Cancelled
143,3,2023-08-18,Completed
144,29,2023-05-31,Cancelled
145,32,2023-12-21,Cancelled
146,75,2023-12-06,Cancelled
147,71,2023-08-31,Returned
148,55,2023-06-26,Returned
149,43,2023-10-09,Cancelled
150,59,2023-12-26,Cancelled
151,33,2023-06-06,Completed
152,93,2023-03-03,Completed
153,16,2023-06-11,Returned
154,98,2023-10-02,Returned
155,25,2023-04-05,Completed
156,36,2023-09-05,Returned
157,98,2023-10-29,Returned
158,37,2023-11-02,Completed
159,38,2023-04-10,Completed
160,23,2023-07-04,Cancelled
161,91,2023-01-08,Returned
162,36,2023-03-06,Completed
163,71,2023-01-28,Cancelled
164,17,2023-12-24,Returned
165,14,2023-09-09,Completed
166,37,2023-10-21,Cancelled
167,57,2023-09-03,Cancelled
168,7,2023-04-05,Cancelled
169,15,2023-09-02,Completed
170,63,2023-07-25,Completed
171,81,2023-10-23,Returned
172,20,2023-01-28,Completed
